"","p_val","avg_diff","pct.1","pct.2","pct.diff"
"Col4a1",1.29695203619796e-06,-0.340030644533473,0.4,0.406,-0.00600000000000001
"Wdr45",9.75107108394067e-08,-0.177581735196519,0.357,0.364,-0.00700000000000001
"Cnn3",4.18130051091056e-07,-0.219033292805449,0.257,0.267,-0.01
"Morn2",2.87610328152308e-07,0.569564873320873,0.214,0.229,-0.015
"Tenm1",8.1962682088e-07,-0.402122882834946,0.486,0.501,-0.015
"Cep68",1.65630676280403e-06,-0.218931058006991,0.143,0.16,-0.017
"Slitrk5",1.65415070915723e-07,-0.321529889543274,0.6,0.628,-0.028
"Zhx3",7.09434610795824e-07,-0.14310707576544,0.171,0.204,-0.033
"Rab3c",7.93897025665619e-12,-0.540595346590517,0.714,0.751,-0.037
"Esr2",2.0300355676955e-07,-0.0634919933919069,0.029,0.125,-0.096
"Anks1b",2.00377593083958e-08,-0.452708166167801,0.429,0.541,-0.112
"Kcnab1",5.64756366673286e-07,-0.322845683342507,0.257,0.379,-0.122
"Adcy2",6.53586696003421e-08,-0.456451278881347,0.314,0.441,-0.127
"Pbx3",1.82980254628036e-08,-0.482836301844763,0.443,0.586,-0.143
"Utrn",3.58110367767755e-07,-0.282725309628542,0.071,0.214,-0.143
"Miat",1.53635662905606e-08,-0.227257908951932,0.157,0.302,-0.145
"Ap1s2",1.94364002549248e-06,-0.247887787590213,0.086,0.232,-0.146
"Tenm3",1.53340306621658e-07,-0.151673217695376,0.057,0.214,-0.157
"Crtac1",2.78140575430314e-08,-0.414073983472803,0.357,0.556,-0.199
"Crhr2",1.79835365855318e-06,-0.278199994440662,0.043,0.269,-0.226
"Mgll",5.58141112748259e-07,-0.624776334579638,0.286,0.514,-0.228
"Pcdh11x",7.39591850502704e-09,-0.423479917897664,0.071,0.302,-0.231
"Pcdh15",2.79850942298237e-08,-0.527067504275805,0.171,0.409,-0.238
"Fgf9",1.41964018007935e-06,-0.444367079152227,0.043,0.282,-0.239
"Slit2",2.02922550324354e-07,-0.403015548465409,0.114,0.364,-0.25
"Ntm",3.03535316922015e-09,-0.605437575181195,0.286,0.564,-0.278
"Slc17a8",3.24504355338394e-09,-0.826300221685021,0.129,0.441,-0.312
